Country,Year,Electricity_Consumption
Australia,2010,220091.029
Australia,2011,223451.837
Australia,2012,222415.4
Australia,2013,218899.242
Australia,2014,225954.139
Australia,2015,231493.3682
Australia,2016,232779.5997
Australia,2017,234813.7943
Australia,2018,235730.21169999999
Australia,2019,240248.94329999998
Australia,2020,240108.288
Australia,2021,241809.4625
Australia,2022,245939.26870000002
Australia,2023,245632.5275
Australia,2024,258588.4897
Australia,2025,257324.3621
Australia,2026,43697.5228
Austria,2010,62071.792
Austria,2011,62132.289
Austria,2012,62952.100999999995
Austria,2013,63546.712
Austria,2014,62557.417
Austria,2015,63583.965
Austria,2016,64527.2831
Austria,2017,65569.8692
Austria,2018,65860.256
Austria,2019,66060.2201
Austria,2020,63784.819
Austria,2021,66923.5752
Austria,2022,65994.6069
Austria,2023,64516.0469
Austria,2024,65425.4458
Austria,2025,66842.48670000001
Austria,2026,12428.2928
Belgium,2010,85967.999
Belgium,2011,83412.999
Belgium,2012,83867.0
Belgium,2013,84161.997
Belgium,2014,82087.699
Belgium,2015,83101.701
Belgium,2016,83183.7
Belgium,2017,83766.1999
Belgium,2018,84222.7999
Belgium,2019,83291.3
Belgium,2020,80897.5
Belgium,2021,83912.4001
Belgium,2022,79659.6
Belgium,2023,76965.1999
Belgium,2024,79910.4999
Belgium,2025,80609.0589
Belgium,2026,14728.5947
Canada,2010,511135.0
Canada,2011,523950.0
Canada,2012,517277.998
Canada,2013,533968.999
Canada,2014,538339.0
Canada,2015,545460.001
Canada,2016,549538.1187
Canada,2017,546774.2629
Canada,2018,558287.057
Canada,2019,553153.5217
Canada,2020,543122.0179
Canada,2021,555601.4331
Canada,2022,562145.5922
Canada,2023,562704.2534
Canada,2024,570136.5103
Canada,2025,590597.8082
Canada,2026,114998.312
Chile,2010,54325.001000000004
Chile,2011,59234.001
Chile,2012,62341.001000000004
Chile,2013,64853.998999999996
Chile,2014,65087.998999999996
Chile,2015,68322.001
Chile,2016,71324.9244
Chile,2017,72839.0868
Chile,2018,76396.3611
Chile,2019,78529.8272
Chile,2020,78319.205
Chile,2021,81334.895
Chile,2022,84074.3709
Chile,2023,82724.0961
Chile,2024,84249.7365
Chile,2025,84761.7871
Chile,2026,13905.097
Colombia,2014,62375.299
Colombia,2015,68588.995
Colombia,2016,67979.4311
Colombia,2017,71599.0911
Colombia,2018,69638.9115
Colombia,2019,74113.6277
Colombia,2020,71969.4492
Colombia,2021,73534.6342
Colombia,2022,75018.0839
Colombia,2023,76340.673
Colombia,2024,79225.198
Colombia,2025,80786.901
Colombia,2026,12806.2988
Costa Rica,2021,10449.382
Costa Rica,2022,10686.919
Costa Rica,2023,11138.7358
Costa Rica,2024,11730.4921
Costa Rica,2025,12533.077000000001
Costa Rica,2026,2023.9105
Czech Republic,2010,58093.776
Czech Republic,2011,57515.021
Czech Republic,2012,58020.191
Czech Republic,2013,57575.676
Czech Republic,2014,57605.998999999996
Czech Republic,2015,58674.0
Czech Republic,2016,59774.444
Czech Republic,2017,60949.509
Czech Republic,2018,61347.904
Czech Republic,2019,61216.774
Czech Republic,2020,59132.4071
Czech Republic,2021,62190.199
Czech Republic,2022,59974.2759
Czech Republic,2023,57477.119
Czech Republic,2024,57142.116
Czech Republic,2025,58431.9162
Czech Republic,2026,11375.6782
Denmark,2010,33113.0
Denmark,2011,32667.744
Denmark,2012,32264.388
Denmark,2013,32306.123
Denmark,2014,31696.25
Denmark,2015,32067.298000000003
Denmark,2016,32265.482
Denmark,2017,32542.4
Denmark,2018,32228.3181
Denmark,2019,32630.005
Denmark,2020,32345.109
Denmark,2021,34775.1809
Denmark,2022,33456.9909
Denmark,2023,34159.6301
Denmark,2024,35872.7627
Denmark,2025,38667.3721
Denmark,2026,8078.0465
Estonia,2010,7430.999
Estonia,2011,7156.0
Estonia,2012,7407.999
Estonia,2013,7332.001
Estonia,2014,7417.001
Estonia,2015,7439.9980000000005
Estonia,2016,7675.7071
