Country,Year,Labour_Productivity,Carbon_Intensity,Electricity_Consumption,Renewable_Share,Carbon_Tax
Australia,2010,66.426834,775.67,220091.029,8.2,0
Australia,2011,68.34106,749.42,223451.837,8.3,0
Australia,2012,67.26891,746.99,222415.4,8.3,0
Australia,2013,69.42627,726.16,218899.242,9.2,0
Australia,2014,69.18332,734.18,225954.139,9.3,0
Australia,2015,64.93884,729.71,231493.3682,9.4,0
Australia,2016,68.32087,713.51,232779.5997,9.6,0
Australia,2017,69.41445,718.08,234813.7943,9.9,0
Australia,2018,70.9219,688.42,235730.2117,9.8,0
Australia,2019,71.46591,670.1,240248.9433,10.3,0
Australia,2020,74.895004,642.32,240108.288,11.2,0
Australia,2021,76.782364,605.91,241809.4625,12.3,0
Austria,2010,66.47581,226.78,62071.792,31.1,0
Austria,2011,68.57759,238.59,62132.289,31.6,0
Austria,2012,70.070335,185.87,62952.101,34.4,0
Austria,2013,69.24733,173.35,63546.712,34.6,0
Austria,2014,72.200165,150.45,62557.417,35.7,0
Austria,2015,74.01847,172.06,63583.965,34.8,0
Austria,2016,73.73715,154.62,64527.2831,34.6,0
Austria,2017,76.241165,162.92,65569.8692,34.0,0
Austria,2018,77.677826,157.88,65860.256,34.1,0
Austria,2019,81.325676,152.78,66060.2201,34.0,0
Austria,2020,85.04281,133.28,63784.819,35.8,0
Austria,2021,84.39119,135.29,66923.5752,36.0,0
Belgium,2010,76.264084,212.81,85967.999,6.2,0
Belgium,2011,77.29739,192.88,83412.999,6.7,0
Belgium,2012,77.53464,202.68,83867.0,7.7,0
Belgium,2013,77.65217,184.26,84161.997,8.3,0
Belgium,2014,78.38158,189.89,82087.699,9.1,0
Belgium,2015,75.51626,215.55,83101.701,9.4,0
Belgium,2016,76.23308,158.7,83183.7,9.2,0
Belgium,2017,77.49725,159.48,83766.1999,9.7,0
Belgium,2018,75.874306,186.95,84222.7999,10.7,0
Belgium,2019,79.80308,156.54,83291.3,10.2,0
Belgium,2020,84.58761,166.61,80897.5,12.3,0
Belgium,2021,83.71278,131.79,83912.4001,11.7,0
Canada,2010,58.41481,214.78,511135.0,21.4,1
Canada,2011,61.105362,206.18,523950.0,21.5,1
Canada,2012,60.37233,193.39,517277.998,21.8,1
Canada,2013,61.309326,186.96,533968.999,22.2,1
Canada,2014,63.82717,188.86,538339.0,22.2,1
Canada,2015,59.803795,184.37,545460.001,22.3,1
Canada,2016,60.476627,180.88,549538.1187,22.1,1
Canada,2017,62.09614,172.06,546774.2629,22.8,1
Canada,2018,61.829838,170.86,558287.057,22.3,1
Canada,2019,60.960705,169.99,553153.5217,22.4,1
Canada,2020,66.48789,161.69,543122.0179,23.9,1
Canada,2021,63.506805,165.37,555601.4331,23.8,1
Chile,2010,26.699575,481.66,54325.001,27.0,0
Chile,2011,29.014107,493.07,59234.001,28.8,0
Chile,2012,30.161224,531.41,62341.001,30.3,0
Chile,2013,30.158035,551.76,64853.999,30.2,0
Chile,2014,31.00204,493.66,65087.999,27.0,0
